iter	Passed	Remaining
170	261	1267
171	261	1260
172	262	1254
173	263	1248
174	263	1243
175	264	1237
176	264	1231
177	265	1224
178	265	1218
179	266	1212
180	266	1205
181	266	1199
182	267	1194
183	268	1189
184	268	1183
185	269	1178
186	269	1173
187	270	1168
188	271	1163
189	271	1157
190	272	1153
191	272	1147
192	273	1143
193	274	1138
194	274	1134
195	275	1129
196	276	1125
197	276	1120
198	277	1115
199	277	1110
200	278	1107
201	279	1102
202	279	1098
203	280	1093
204	280	1089
205	281	1085
206	282	1081
207	282	1076
208	283	1072
209	283	1067
210	284	1063
211	284	1058
212	285	1054
213	285	1050
214	286	1045
215	287	1042
216	287	1038
217	288	1034
218	288	1030
219	289	1026
220	289	1021
221	290	1017
222	290	1013
223	291	1009
224	292	1005
225	292	1001
226	293	997
227	293	994
228	294	990
229	294	986
230	295	982
231	295	979
232	296	975
233	297	973
234	297	969
235	298	966
236	299	962
237	299	959
238	300	957
239	301	954
240	301	950
241	302	947
242	302	943
243	303	940
244	304	936
245	304	933
246	305	930
247	305	927
248	306	924
249	306	920
250	307	917
251	307	913
252	308	910
253	308	907
254	309	903
255	309	900
256	310	897
257	311	895
258	311	892
259	312	889
260	313	886
261	313	883
262	314	880
263	314	877
264	315	874
265	315	871
266	316	868
267	316	865
268	317	862
269	317	859
270	318	856
271	319	853
272	319	851
273	320	848
274	320	845
275	321	842
276	321	839
277	322	836
278	322	834
279	323	831
280	323	828
281	324	826
282	325	824
283	325	821
284	326	819
285	327	816
286	327	813
287	328	811
288	328	808
289	329	806
290	330	804
291	330	801
292	331	799
293	331	796
294	332	794
295	332	791
296	333	789
297	333	786
298	334	784
299	335	781
300	335	779
301	336	777
302	336	774
303	337	772
304	338	770
305	338	767
306	339	765
307	339	763
308	340	760
309	340	758
310	341	756
311	354	782
312	355	780
313	356	778
314	356	775
315	357	773
316	357	771
317	358	768
318	359	766
319	359	763
320	359	761
321	360	758
322	361	756
323	361	754
324	362	752
325	362	749
326	363	747
327	363	745
328	364	743
329	364	741
330	365	738
331	366	736
332	366	734
333	367	732
334	367	730
335	368	728
336	369	726
337	369	724
338	370	722
339	370	719
340	371	717
341	371	715
342	372	713
343	372	711
344	373	709
345	374	706
346	374	704
347	375	703
348	375	701
349	376	699
350	376	696
351	377	694
352	377	692
353	378	690
354	378	688
355	379	686
356	379	684
357	380	682
358	380	680
359	381	678
360	382	677
361	383	675
362	383	673
363	384	672
364	385	670
365	385	668
366	386	666
367	386	664
368	387	662
369	388	660
370	388	658
371	389	656
372	389	655
373	390	653
374	390	651
375	391	649
376	392	647
377	393	646
378	393	645
379	394	643
380	394	641
381	395	639
382	396	638
383	396	636
384	397	634
385	397	632
386	398	631
387	398	629
388	399	627
389	400	625
390	400	624
391	401	622
392	401	620
393	402	619
394	403	617
395	403	615
396	404	613
397	404	612
398	405	610
399	405	608
400	406	606
401	406	605
402	407	603
403	407	601
404	408	600
405	409	598
406	409	596
407	410	595
408	410	593
409	411	591
410	411	590
411	412	588
412	413	587
413	413	585
414	414	583
415	414	582
416	415	580
417	415	579
418	416	577
419	417	575
420	417	574
421	418	573
422	418	571
423	419	569
424	420	568
425	420	566
426	421	565
427	421	563
428	422	562
429	422	560
430	423	559
431	424	557
432	424	555
433	425	554
434	425	552
435	426	551
436	426	549
437	427	548
438	427	546
439	428	544
440	428	543
441	429	542
442	430	540
443	430	539
444	431	537
445	431	536
446	432	534
447	432	533
448	433	531
449	433	530
450	434	528
451	435	527
452	435	526
453	436	525
454	437	523
455	437	522
456	438	521
457	439	519
458	439	518
459	440	516
460	440	515
461	441	513
462	441	512
463	442	510
464	443	509
465	443	508
466	444	507
467	444	505
468	445	504
469	445	502
470	446	501
471	447	500
472	447	498
473	448	497
474	448	495
475	449	494
476	450	493
477	450	492
478	451	490
479	451	489
480	452	488
481	452	486
482	453	485
483	454	484
484	454	483
485	455	481
486	456	480
487	456	479
488	457	478
489	458	476
490	458	475
491	459	473
492	459	472
